type,record_ids,settlement,confidence,rule_fired,llm_invoked,llm_root_cause,llm_explanation,llm_confidence,llm_proposed_action,llm_proposal_reasoning,deterministic_recheck_passed,llm_error_detail,final_status,_ambiguous_merge,counterpart.order_id,counterpart.expected_amount,counterpart.order_date,counterpart.customer_ref,counterpart.status,counterpart.payment_id,counterpart.source,counterpart.order_norm,counterpart.payment_norm,entity_id,payment_id,order_id,amount,fee,tax,currency,settled_amount,settlement_id,settlement_utr,created_at,settled_at,method,card_network,source,utr_norm,order_norm,payment_norm,match_type,bank_txn_id,ledger_order_id
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0000,PAY_SYNTH_0000,ORD_SYNTH_0000,5655.42,126.77,22.82,INR,5505.83,set_0000,UTR770487,2026-08-28T08:45:25.700234,2026-08-29T08:45:25.700234,UPI,VISA,synthetic,utr770487,ord_synth_0000,pay_synth_0000,exact,TXN_809570,ORD_SYNTH_0000
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0001,PAY_SYNTH_0001,ORD_SYNTH_0001,29565.58,452.88,81.52,INR,29031.18,set_0001,UTR191161,2026-09-02T08:45:25.700338,2026-09-03T08:45:25.700338,UPI,VISA,synthetic,utr191161,ord_synth_0001,pay_synth_0001,exact,TXN_127824,ORD_SYNTH_0001
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0004,PAY_SYNTH_0004,ORD_SYNTH_0004,13299.59,205.27,36.95,INR,13057.37,set_0004,UTR733052,2026-08-21T08:45:25.700495,2026-08-22T08:45:25.700495,Netbanking,VISA,synthetic,utr733052,ord_synth_0004,pay_synth_0004,exact,TXN_496922,ORD_SYNTH_0004
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0007,PAY_SYNTH_0007,ORD_SYNTH_0007,13422.19,327.05,58.87,INR,13036.27,set_0007,UTR802729,2026-08-15T08:45:25.700630,2026-08-16T08:45:25.700630,UPI,RuPay,synthetic,utr802729,ord_synth_0007,pay_synth_0007,exact,TXN_660086,ORD_SYNTH_0007
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0008,PAY_SYNTH_0008,ORD_SYNTH_0008,23166.78,410.04,73.81,INR,22682.93,set_0008,UTR271339,2026-08-06T08:45:25.700670,2026-08-07T08:45:25.700670,Netbanking,RuPay,synthetic,utr271339,ord_synth_0008,pay_synth_0008,exact,TXN_817870,ORD_SYNTH_0008
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0009,PAY_SYNTH_0009,ORD_SYNTH_0009,38438.85,598.08,107.65,INR,37733.12,set_0009,UTR983794,2026-08-09T08:45:25.700711,2026-08-10T08:45:25.700711,UPI,Mastercard,synthetic,utr983794,ord_synth_0009,pay_synth_0009,exact,TXN_169403,ORD_SYNTH_0009
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0010,PAY_SYNTH_0010,ORD_SYNTH_0010,43830.74,795.39,143.17,INR,42892.18,set_0010,UTR694731,2026-08-15T08:45:25.700752,2026-08-16T08:45:25.700752,Card,Mastercard,synthetic,utr694731,ord_synth_0010,pay_synth_0010,exact,TXN_774079,ORD_SYNTH_0010
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0011,PAY_SYNTH_0011,ORD_SYNTH_0011,13317.52,232.61,41.87,INR,13043.04,set_0011,UTR249811,2026-08-18T08:45:25.700798,2026-08-19T08:45:25.700798,Netbanking,Mastercard,synthetic,utr249811,ord_synth_0011,pay_synth_0011,exact,TXN_549245,ORD_SYNTH_0011
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0012,PAY_SYNTH_0012,ORD_SYNTH_0012,11044.11,275.83,49.65,INR,10718.63,set_0012,UTR479580,2026-08-19T08:45:25.700846,2026-08-20T08:45:25.700846,Card,VISA,synthetic,utr479580,ord_synth_0012,pay_synth_0012,exact,TXN_214975,ORD_SYNTH_0012
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0013,PAY_SYNTH_0013,ORD_SYNTH_0013,8083.1,176.25,31.72,INR,7875.13,set_0013,UTR757924,2026-08-16T08:45:25.700889,2026-08-17T08:45:25.700889,UPI,Mastercard,synthetic,utr757924,ord_synth_0013,pay_synth_0013,exact,TXN_654816,ORD_SYNTH_0013
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0014,PAY_SYNTH_0014,ORD_SYNTH_0014,43052.91,650.74,117.13,INR,42285.04,set_0014,UTR680099,2026-08-12T08:45:25.700931,2026-08-13T08:45:25.700931,UPI,RuPay,synthetic,utr680099,ord_synth_0014,pay_synth_0014,exact,TXN_887352,ORD_SYNTH_0014
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0018,PAY_SYNTH_0018,ORD_SYNTH_0018,3553.7,80.34,14.46,INR,3458.9,set_0018,UTR955662,2026-08-11T08:45:25.701117,2026-08-12T08:45:25.701117,UPI,VISA,synthetic,utr955662,ord_synth_0018,pay_synth_0018,exact,TXN_676510,ORD_SYNTH_0018
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0019,PAY_SYNTH_0019,ORD_SYNTH_0019,26430.92,556.79,100.22,INR,25773.91,set_0019,UTR377932,2026-08-05T08:45:25.701158,2026-08-06T08:45:25.701158,UPI,RuPay,synthetic,utr377932,ord_synth_0019,pay_synth_0019,exact,TXN_823378,ORD_SYNTH_0019
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0020,PAY_SYNTH_0020,ORD_SYNTH_0020,15654.64,390.61,70.31,INR,15193.72,set_0020,UTR847581,2026-08-15T08:45:25.701310,2026-08-16T08:45:25.701310,Card,Mastercard,synthetic,utr847581,ord_synth_0020,pay_synth_0020,exact,TXN_573417,ORD_SYNTH_0020
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0021,PAY_SYNTH_0021,ORD_SYNTH_0021,11312.4,207.93,37.43,INR,11067.04,set_0021,UTR359947,2026-08-17T08:45:25.701369,2026-08-18T08:45:25.701369,Netbanking,VISA,synthetic,utr359947,ord_synth_0021,pay_synth_0021,exact,TXN_107540,ORD_SYNTH_0021
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0023,PAY_SYNTH_0023,ORD_SYNTH_0023,6702.36,163.24,29.38,INR,6509.74,set_0023,UTR665427,2026-08-17T08:45:25.701527,2026-08-18T08:45:25.701527,Netbanking,Mastercard,synthetic,utr665427,ord_synth_0023,pay_synth_0023,exact,TXN_946721,ORD_SYNTH_0023
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0024,PAY_SYNTH_0024,ORD_SYNTH_0024,4806.86,103.78,18.68,INR,4684.4,set_0024,UTR299659,2026-08-24T08:45:25.701606,2026-08-25T08:45:25.701606,Card,Mastercard,synthetic,utr299659,ord_synth_0024,pay_synth_0024,exact,TXN_864491,ORD_SYNTH_0024
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0027,PAY_SYNTH_0027,ORD_SYNTH_0027,32642.03,666.09,119.9,INR,31856.04,set_0027,UTR153045,2026-09-04T08:45:25.701811,2026-09-05T08:45:25.701811,UPI,VISA,synthetic,utr153045,ord_synth_0027,pay_synth_0027,exact,TXN_604740,ORD_SYNTH_0027
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0028,PAY_SYNTH_0028,ORD_SYNTH_0028,45131.9,751.28,135.23,INR,44245.39,set_0028,UTR520521,2026-09-04T08:45:25.701857,2026-09-05T08:45:25.701857,Card,Mastercard,synthetic,utr520521,ord_synth_0028,pay_synth_0028,exact,TXN_923267,ORD_SYNTH_0028
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0029,PAY_SYNTH_0029,ORD_SYNTH_0029,21208.07,521.15,93.81,INR,20593.11,set_0029,UTR399105,2026-08-10T08:45:25.701909,2026-08-11T08:45:25.701909,Netbanking,RuPay,synthetic,utr399105,ord_synth_0029,pay_synth_0029,exact,TXN_262316,ORD_SYNTH_0029
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0030,PAY_SYNTH_0030,ORD_SYNTH_0030,10963.27,170.86,30.75,INR,10761.66,set_0030,UTR411120,2026-08-12T08:45:25.701952,2026-08-13T08:45:25.701952,Netbanking,VISA,synthetic,utr411120,ord_synth_0030,pay_synth_0030,exact,TXN_159942,ORD_SYNTH_0030
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0031,PAY_SYNTH_0031,ORD_SYNTH_0031,23891.75,578.03,104.05,INR,23209.67,set_0031,UTR712554,2026-08-19T08:45:25.701999,2026-08-20T08:45:25.701999,UPI,VISA,synthetic,utr712554,ord_synth_0031,pay_synth_0031,exact,TXN_184002,ORD_SYNTH_0031
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0032,PAY_SYNTH_0032,ORD_SYNTH_0032,29792.25,648.04,116.65,INR,29027.56,set_0032,UTR171849,2026-08-28T08:45:25.702043,2026-08-29T08:45:25.702043,Card,VISA,synthetic,utr171849,ord_synth_0032,pay_synth_0032,exact,TXN_697347,ORD_SYNTH_0032
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0033,PAY_SYNTH_0033,ORD_SYNTH_0033,29766.51,630.87,113.56,INR,29022.08,set_0033,UTR707040,2026-08-22T08:45:25.702087,2026-08-23T08:45:25.702087,Netbanking,RuPay,synthetic,utr707040,ord_synth_0033,pay_synth_0033,exact,TXN_431737,ORD_SYNTH_0033
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0034,PAY_SYNTH_0034,ORD_SYNTH_0034,33519.33,608.1,109.46,INR,32801.77,set_0034,UTR314181,2026-08-27T08:45:25.702128,2026-08-28T08:45:25.702128,Card,VISA,synthetic,utr314181,ord_synth_0034,pay_synth_0034,exact,TXN_414569,ORD_SYNTH_0034
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0035,PAY_SYNTH_0035,ORD_SYNTH_0035,46458.01,1131.59,203.69,INR,45122.73,set_0035,UTR431535,2026-09-04T08:45:25.702167,2026-09-05T08:45:25.702167,Card,RuPay,synthetic,utr431535,ord_synth_0035,pay_synth_0035,exact,TXN_204837,ORD_SYNTH_0035
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0036,PAY_SYNTH_0036,ORD_SYNTH_0036,10736.4,189.52,34.11,INR,10512.77,set_0036,UTR663750,2026-08-06T08:45:25.702245,2026-08-07T08:45:25.702245,Card,VISA,synthetic,utr663750,ord_synth_0036,pay_synth_0036,exact,TXN_487477,ORD_SYNTH_0036
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0037,PAY_SYNTH_0037,ORD_SYNTH_0037,21965.41,448.8,80.78,INR,21435.83,set_0037,UTR265409,2026-08-26T08:45:25.702287,2026-08-27T08:45:25.702287,Netbanking,RuPay,synthetic,utr265409,ord_synth_0037,pay_synth_0037,exact,TXN_800305,ORD_SYNTH_0037
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0038,PAY_SYNTH_0038,ORD_SYNTH_0038,5268.97,125.3,22.55,INR,5121.12,set_0038,UTR795613,2026-08-27T08:45:25.702336,2026-08-28T08:45:25.702336,UPI,VISA,synthetic,utr795613,ord_synth_0038,pay_synth_0038,exact,TXN_262998,ORD_SYNTH_0038
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0039,PAY_SYNTH_0039,ORD_SYNTH_0039,30281.01,671.52,120.87,INR,29488.62,set_0039,UTR395442,2026-08-29T08:45:25.702377,2026-08-30T08:45:25.702377,Netbanking,RuPay,synthetic,utr395442,ord_synth_0039,pay_synth_0039,exact,TXN_629959,ORD_SYNTH_0039
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0040,PAY_SYNTH_0040,ORD_SYNTH_0040,45276.29,1062.23,191.2,INR,44022.86,set_0040,UTR363319,2026-09-02T08:45:25.702418,2026-09-03T08:45:25.702418,Netbanking,Mastercard,synthetic,utr363319,ord_synth_0040,pay_synth_0040,exact,TXN_146228,ORD_SYNTH_0040
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0041,PAY_SYNTH_0041,ORD_SYNTH_0041,38578.85,824.47,148.4,INR,37605.98,set_0041,UTR449759,2026-08-27T08:45:25.702466,2026-08-28T08:45:25.702466,UPI,RuPay,synthetic,utr449759,ord_synth_0041,pay_synth_0041,exact,TXN_839945,ORD_SYNTH_0041
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0042,PAY_SYNTH_0042,ORD_SYNTH_0042,582.52,9.18,1.65,INR,571.69,set_0042,UTR688153,2026-08-07T08:45:25.702508,2026-08-08T08:45:25.702508,Netbanking,VISA,synthetic,utr688153,ord_synth_0042,pay_synth_0042,exact,TXN_975136,ORD_SYNTH_0042
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0043,PAY_SYNTH_0043,ORD_SYNTH_0043,27671.0,533.99,96.12,INR,27040.89,set_0043,UTR710805,2026-09-03T08:45:25.702548,2026-09-04T08:45:25.702548,Card,Mastercard,synthetic,utr710805,ord_synth_0043,pay_synth_0043,exact,TXN_934794,ORD_SYNTH_0043
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0044,PAY_SYNTH_0044,ORD_SYNTH_0044,10582.82,185.15,33.33,INR,10364.34,set_0044,UTR475190,2026-09-01T08:45:25.702591,2026-09-02T08:45:25.702591,Card,RuPay,synthetic,utr475190,ord_synth_0044,pay_synth_0044,exact,TXN_526117,ORD_SYNTH_0044
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0046,PAY_SYNTH_0046,ORD_SYNTH_0046,8043.97,177.07,31.87,INR,7835.03,set_0046,UTR379766,2026-08-23T08:45:25.702679,2026-08-24T08:45:25.702679,UPI,Mastercard,synthetic,utr379766,ord_synth_0046,pay_synth_0046,exact,TXN_466643,ORD_SYNTH_0046
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0048,PAY_SYNTH_0048,ORD_SYNTH_0048,34007.95,797.03,143.47,INR,33067.45,set_0048,UTR519093,2026-08-25T08:45:25.702783,2026-08-26T08:45:25.702783,UPI,VISA,synthetic,utr519093,ord_synth_0048,pay_synth_0048,exact,TXN_373903,ORD_SYNTH_0048
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0052,PAY_SYNTH_0052,ORD_SYNTH_0052,15533.3,296.44,53.36,INR,15183.5,set_0052,UTR631756,2026-08-23T08:45:25.702968,2026-08-24T08:45:25.702968,Netbanking,Mastercard,synthetic,utr631756,ord_synth_0052,pay_synth_0052,exact,TXN_301158,ORD_SYNTH_0052
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0053,PAY_SYNTH_0053,ORD_SYNTH_0053,47024.15,1023.87,184.3,INR,45815.98,set_0053,UTR797229,2026-08-07T08:45:25.703012,2026-08-08T08:45:25.703012,UPI,RuPay,synthetic,utr797229,ord_synth_0053,pay_synth_0053,exact,TXN_525800,ORD_SYNTH_0053
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0054,PAY_SYNTH_0054,ORD_SYNTH_0054,120.26,2.15,0.39,INR,117.72,set_0054,UTR974224,2026-08-22T08:45:25.703057,2026-08-23T08:45:25.703057,Netbanking,RuPay,synthetic,utr974224,ord_synth_0054,pay_synth_0054,exact,TXN_587575,ORD_SYNTH_0054
payment,,,1.0,,,,,,,,,,matched,,,,,,,,,,,sett_0055,PAY_SYNTH_0055,ORD_SYNTH_0055,33813.8,680.05,122.41,INR,33011.34,set_0055,UTR563638,2026-08-10T08:45:25.703098,2026-08-11T08:45:25.703098,Netbanking,VISA,synthetic,utr563638,ord_synth_0055,pay_synth_0055,exact,TXN_397571,ORD_SYNTH_0055
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0002,PAY_SYNTH_0002,ORD_SYNTH_0002,32529.23,665.2,119.74,INR,31744.29,set_0002,UTR850800,2026-08-28T08:45:25.700399,2026-08-29T08:45:25.700399,Card,RuPay,synthetic,utr850800,ord_synth_0002,pay_synth_0002,fuzzy_3way,TXN_832052,ORD_SYNTH_0002
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0003,PAY_SYNTH_0003,ORD_SYNTH_0003,13965.78,239.56,43.12,INR,13683.1,set_0003,UTR456778,2026-08-11T08:45:25.700451,2026-08-12T08:45:25.700451,Card,VISA,synthetic,utr456778,ord_synth_0003,pay_synth_0003,fuzzy_3way,TXN_476417,ORD_SYNTH_0003
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0005,PAY_SYNTH_0005,ORD_SYNTH_0005,14729.6,313.54,56.44,INR,14359.62,set_0005,UTR678856,2026-08-07T08:45:25.700543,2026-08-08T08:45:25.700543,Card,RuPay,synthetic,utr678856,ord_synth_0005,pay_synth_0005,fuzzy_3way,TXN_148050,ORD_SYNTH_0005
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0016,PAY_SYNTH_0016,ORD_SYNTH_0016,14992.4,320.68,57.72,INR,14614.0,set_0016,UTR755674,2026-08-16T08:45:25.701024,2026-08-17T08:45:25.701024,UPI,VISA,synthetic,utr755674,ord_synth_0016,pay_synth_0016,fuzzy_3way,TXN_728038,ORD_SYNTH_0016
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0017,PAY_SYNTH_0017,ORD_SYNTH_0017,1071.89,26.04,4.69,INR,1041.16,set_0017,UTR612340,2026-08-07T08:45:25.701072,2026-08-08T08:45:25.701072,Card,VISA,synthetic,utr612340,ord_synth_0017,pay_synth_0017,fuzzy_3way,TXN_189814,ORD_SYNTH_0017
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0022,PAY_SYNTH_0022,ORD_SYNTH_0022,31592.04,546.21,98.32,INR,30947.51,set_0022,UTR842225,2026-08-07T08:45:25.701416,2026-08-08T08:45:25.701416,UPI,Mastercard,synthetic,utr842225,ord_synth_0022,pay_synth_0022,fuzzy_3way,TXN_608993,ORD_SYNTH_0022
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0025,PAY_SYNTH_0025,ORD_SYNTH_0025,32707.43,701.96,126.35,INR,31879.12,set_0025,UTR806073,2026-09-03T08:45:25.701679,2026-09-04T08:45:25.701679,Card,RuPay,synthetic,utr806073,ord_synth_0025,pay_synth_0025,fuzzy_3way,TXN_360735,ORD_SYNTH_0025
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0026,PAY_SYNTH_0026,ORD_SYNTH_0026,26860.66,440.56,79.3,INR,26340.8,set_0026,UTR299448,2026-08-30T08:45:25.701744,2026-08-31T08:45:25.701744,Card,Mastercard,synthetic,utr299448,ord_synth_0026,pay_synth_0026,fuzzy_3way,TXN_564656,ORD_SYNTH_0026
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0050,PAY_SYNTH_0050,ORD_SYNTH_0050,44985.29,760.29,136.85,INR,44088.15,set_0050,UTR503906,2026-09-03T08:45:25.702871,2026-09-04T08:45:25.702871,Netbanking,Mastercard,synthetic,utr503906,ord_synth_0050,pay_synth_0050,fuzzy_3way,TXN_820221,ORD_SYNTH_0050
payment,,,0.992,,,,,,,,,,matched,,,,,,,,,,,sett_0051,PAY_SYNTH_0051,ORD_SYNTH_0051,21621.74,529.49,95.31,INR,20996.94,set_0051,UTR481913,2026-08-06T08:45:25.702926,2026-08-07T08:45:25.702926,Card,RuPay,synthetic,utr481913,ord_synth_0051,pay_synth_0051,fuzzy_3way,TXN_854717,ORD_SYNTH_0051
